name,firstName,country,title,studio,duration,year,category,genre,award,addon,
PICHE,Jean,Canada,Aange (for voices and tape),,0:15:06,1980,Numérique,,M,,
TRUAX,Barry,Canada,Arras (for four computer-synthesized soundtracks),,0:10:00,1980,Numérique,,M,,
LORA TOTINO,Arrigo,Italie,Trio prosodico II,,0:21:45,1980,Programme,,M,,
SIKORA,Elzbieta,France,The waste land,,0:24:35,1980,Programme,,M,,
VINAO,Alejandro,Argentine,Go,,0:13:20,1981,Analogique,,1,,
OBST,Michael,Allemagne,Metal drop music,,0:08:10,1981,Analogique,,2,,
SZIGETI,Istvan,Hongrie,Souvenir de K,,0:12:10,1981,Analogique,,Prix CIM,,
NEWELL,Andrew,USA,The thin edge of the wedge,,0:12:28,1981,Analogique,,M,,
PIGNON,Paul,Gde Bretagne,Mechanical cartoons,,0:10:10,1981,Analogique,,M,,
PONGRACZ,Zoltan,Hongrie,Madrigal,,0:10:15,1981,Analogique,,M,,
RUDNIK,Eugeniusz,Pologne,Triptyque à la mémoire de Franco l'Evangelisti,,0:13:30,1981,Analogique,,M,,
SIKORA,Elzbieta,France,Lettres A.M.,,0:14:52,1981,Analogique,,M,,
SZEREMETA,Ryszard,Pologne,Points,,0:10:00,1981,Analogique,,M,,
HARRISON,Jonty,Gde Bretagne,Eq (pour saxophone et bande),,00:14:50,1981,Mixte,,1,,
MAGDIC,Josip,Yougoslavie,"Music for clarinet, saz and electronics",,0:12:33,1981,Mixte,,2,,
HEIFETZ,Robin Julian,USA,Harbinger,,0:10:37,1981,Mixte,,M,,
MELBY,John,USA,"Accelerazioni (for flute and computer-synthesized, tape)",,0:08:38,1981,Mixte,,M,,
VOIGTLAENDER,Lothar,Allemagne,Variation und collage,,0:08:00,1981,Mixte,,M,,
DASHOW,James,USA,Conditional Assemblies,,0:19:05,1981,Numérique,,2,EA,
LOY,Gareth,USA,Nekyia,,0:10:00,1981,Numérique,,2,EA,
GRAZIANI,Mauro,Italie,Winter leaves,,0:08:40,1981,Numérique,,M,,
WIENEKE,Paul,USA,A garden for orpheus,,0:12:40,1981,Numérique,,M,,
DHOMONT,Francis,France,Sous le regard d'un soleil noir,,0:51:30,1981,Programme,,1,,
DOYLE,Roger,Irlande,Rapid eye movement,,0:30:00,1981,Programme,,M1,,
KOSK,Patrick,Finlande,Trance Dance,,0:16:22,1981,Programme,,M2,,
SIREN,Pekka,Finlande,The genesis of Kazan (pour bande et vidéo),,0:24:05,1981,Programme,,M,,
RODER,Klaus,Allemagne,Mr. Frankenstein's babies,,0:10:42,1982,Analogique,,1,EA,
MANDOLINI,Ricardo,Argentine,Cancion de madera y agua,,0:08:24,1982,Analogique,,2,,
MAZUREK,Bohdan,Pologne,6 electronci preludes,,0:14:55,1982,Analogique,,M,,
CONDON GARCIA,Fernando,Uruguay,Suiana Wanka,,0:05:45,1982,Analogique,,Prix CIM,,
KOSK,Patrick,Finlande,Transmissions in a… (system of coordinates),,0:17:22,1982,Analogique,,M,,
KRUIT,Rob,Pays-Bas,Unknown roads,,0:14:10,1982,Analogique,,M,,
MARCHAL,Alain,France,Los,,0:08:40,1982,Analogique,,M,,
SIREN,Pekka,Finlande,Kasaanin synty,,0:24:00,1982,Art Visuel,,2,,
WEIDENAAR,Reynold,USA,Wavelines II,,0:08:00,1982,Art Visuel,,M,,
LENFANT,Patrick,France,Alternances (pour flûte et synthétiseur),,0:13:00,1982,Mixte,,2,EA,
NEMESCU,Octavian,Roumanie,Combinaisons en cercle (pour ensemble et bande),,0:11:45,1982,Mixte,,2,EA,
DE MAREZ OYENS,Tera,Pays-Bas,Charon's Gift,,,1982,Mixte,,M,,
FORT,Bernard,France,Le tombeau de William Byrd,,0:25:28,1982,Mixte,,M,,
LANZA,Alcides,Canada,"AcufenosS V (for trumpet, piano, electronic and computer sounds)",,0:12:30,1982,Mixte,,M,,
PERRON,Serge,Canada,Fusion(for piano and tape),,0:08:20,1982,Mixte,,M,,
SUESSE,Ulrich,Allemagne,"Oboe (for oboe, 2 tapes and live-electronics)",,0:21:40,1982,Mixte,,M,,
CHAFE,Chris,USA,Solera,,0:12:05,1982,Numérique,,2,EA,
LANCINO,Thierry,France,Static arches,,0:14:00,1982,Numérique,,2,EA,
MAC NABB,Michael,USA,Love in the asylum,,0:14:00,1982,Numérique,,2,EA,
