name,firstName,country,title,studio,duration,year,category,genre,award
KEANE,David,Canada,In Memorian: Hugh Le Cain,,0:16:30,1980,Analogique,,M
MANDOLINI,Ricardo,Argentine,"Fabulas , II parte",,0:10:23,1980,Analogique,,M
MATICIC,Janes,Yougoslavie,Fusions,,0:11:13,1980,Analogique,,M
DAOUST,Yves,Canada,Quatuor,,0:18:00,1980,Euphonies,,Euphonies
BARROSO,Sergio,Canada,Yantra IX (pour saxophone et bande),,0:16:00,1980,Mixte,,2 EA
NEMESCU,Octavian,Roumanie,Concentrique (pour ensemble variable et bande),,0:16:10,1980,Mixte,,2 EA
ZVONAR,Richard,USA,3 for 5,,0:23:00,1980,Mixte,,M
HARRISON,Jonty,Gde Bretagne,A Vent (pour hautbois et bande),,0:19:25,1980,Mixte,,M
ROLNICK,Neil,USA,Wondrous love,,0:10:00,1980,Mixte,,M
RISSET,Jean-Claude,France,Songes,,0:09:10,1980,Numérique,,1
RAMPAZZI,Tera,Italie,Atmen noch,,0:15:05,1980,Numérique,,2
PICHE Jean,,Canada,Aange (for voices and tape),,0:15:06,1980,Numérique,,M
TRUAX Barry,,Canada,Arras (for four computer-synthesized soundtracks),,0:10:00,1980,Numérique,,M
LORA TOTINO Arrigo,,Italie,Trio prosodico II,,0:21:45,1980,Programme,,M
SIKORA Elzbieta,,France,The waste land,,0:24:35,1980,Programme,,M
VINAO Alejandro,,Argentine,Go,,0:13:20,1981,Analogique,,1
OBST Michael,,Allemagne,Metal drop music,,0:08:10,1981,Analogique,,2
SZIGETI Istvan,,Hongrie,Souvenir de K,,0:12:10,1981,Analogique,,Prix CIM
NEWELL Andrew,,USA,The thin edge of the wedge,,0:12:28,1981,Analogique,,M
PIGNON Paul,,Gde Bretagne,Mechanical cartoons,,0:10:10,1981,Analogique,,M
PONGRACZ Zoltan,,Hongrie,Madrigal,,0:10:15,1981,Analogique,,M
RUDNIK Eugeniusz,,Pologne,Triptyque à la mémoire de Franco l'Evangelisti,,0:13:30,1981,Analogique,,M
SIKORA Elzbieta,,France,Lettres A.M.,,0:14:52,1981,Analogique,,M
SZEREMETA Ryszard,,Pologne,Points,,0:10:00,1981,Analogique,,M
HARRISON Jonty,,Gde Bretagne,Eq (pour saxophone et bande),,00:14:50,1981,Mixte,,1
MAGDIC Josip,,Yougoslavie,"Music for clarinet, saz and electronics",,0:12:33,1981,Mixte,,2
HEIFETZ Robin Julian,,USA,Harbinger,,0:10:37,1981,Mixte,,M
MELBY John,,USA,"Accelerazioni (for flute and computer-synthesized, tape)",,0:08:38,1981,Mixte,,M
VOIGTLAENDER Lothar,,Allemagne,Variation und collage,,0:08:00,1981,Mixte,,M
DASHOW James,,USA,Conditional Assemblies,,0:19:05,1981,Numérique,,2 EA
LOY Gareth,,USA,Nekyia,,0:10:00,1981,Numérique,,2 EA
GRAZIANI Mauro,,Italie,Winter leaves,,0:08:40,1981,Numérique,,M
WIENEKE Paul,,USA,A garden for orpheus,,0:12:40,1981,Numérique,,M
DHOMONT Francis,,France,Sous le regard d'un soleil noir,,0:51:30,1981,Programme,,1
DOYLE Roger,,Irlande,Rapid eye movement,,0:30:00,1981,Programme,,1ère Mention
KOSK Patrick,,Finlande,Trance Dance,,0:16:22,1981,Programme,,2e Mention
